"rating__-","title","body"
"2.0 out of 5 stars","Don't buy it from this seller.","The product which I received had stains over it and also was poorly built which in any bonafide apple product doesn't have.So all in all, it looks like I've received a product which has been used before."
"2.0 out of 5 stars","Not worth it","Audio breaks sometimes. Sometimes it takes longer time to connect to iPhone sometimes is doesn't even connect. Reveived faulty product"
"2.0 out of 5 stars","Bad","After using one week airpods got damaged I really disappointed with airpods."
"2.0 out of 5 stars","Problem with charging case","Charging case drains fast even doesn’t use Pods."
"2.0 out of 5 stars","Received damaged product","Battery is draning very fast in one airpod, there is no return or replace..."
"2.0 out of 5 stars","Apple AirPod charging case is good but price should be 12k","I have a problem with this product but serial no is incorrect mentioned in bill"
"2.0 out of 5 stars","Not satisfied","Initially the product was working fine but now it is making a problem. I would not recommend you to buy it from this retailer. But go and buy from the store."
"2.0 out of 5 stars","Android users Do Not Buy","Zero Noise Cancellation on this Product. P Don't Buy this product"
"2.0 out of 5 stars","Worth for money - 0 stars","Everything is awesome but the only drawback is cost. The same quality of sound u can get in Apple Wired Earphone. So think before u buy."
"2.0 out of 5 stars","Not bad","Not bad"
"2.0 out of 5 stars","Airpods 1, Not 2.","Let me tell everyone that these are “Airpods 1”, not the Airpods 2 with the H1 chip. Airpods 2 have the LED indicator outside the Charging case, not inside the shutter."
"2.0 out of 5 stars","Low volume issues","I have used one day.. In first day working fine for Android and if connect apple low volume coming.. I had reset many times and not working properly"
"2.0 out of 5 stars","Defective or a used product","I received a defective product or may be a used product. Mic and background noise cancellation doesn’t work properly when I’m on phone call."
"2.0 out of 5 stars","Defective piece","AirPods are good but which I receive that was defective that’s why I want to replace It or want my money back"
"2.0 out of 5 stars","Defective piece","I'm using this item from last 4 days. The audio of the item is decreasing continuously. I think item is defective ."
"2.0 out of 5 stars","Ok ok","Ok"
"2.0 out of 5 stars","Product finishing very bad","Finishing is very bad edges not clear it's look like refurbished item."
"2.0 out of 5 stars","Replacement","Overall good but the case head will be shaking"
"2.0 out of 5 stars","Defective right earpod","Good device. However having problem with right EarPod . Will have to claim warranty."
"2.0 out of 5 stars","price too high","noise cancellation not good"
"2.0 out of 5 stars","Awesome","will give you guys detailed review after 1 month"
"2.0 out of 5 stars","Waste Product","This is fake product...it’s not a value of money..."
"2.0 out of 5 stars","Suddenly stopped the music and restart","Suddenly stopped the music and restart"
"2.0 out of 5 stars","Connectivity issue in the device","Getting issue in connectivity"
"2.0 out of 5 stars","hdhd","shshwj"
"2.0 out of 5 stars","Network issues","Sounds good"
"2.0 out of 5 stars","Noise cancellation not working","Not satisfied"
"2.0 out of 5 stars","Left earpod disconnecting","With in 6 months left earpod keep disconneting even after reset earpod and new firm version also. With that repair earpod price we can buy new once"
"2.0 out of 5 stars","Bad amazon","Airpods are good but dont buy from amazon,they are sending defective profucts"
"2.0 out of 5 stars","The AirPods dispatched to me are faulty !","They are not able to catch range even within 5 mtr distance from my phone. How an Apple product be of such inferior quality ? I need replacement for this product - Its been less than 6 months yet"
"2.0 out of 5 stars","Don't buy this","After 2 year of buying this airpod, I found that this is my wrong decision to buy because of its battery life. When i went to apple care for this problem they told me very carelessly that any wireless handset has two year battery life after that you have to buy new one so please don't buy this"
"2.0 out of 5 stars","Airpods","Which generation 1 or 2"
"2.0 out of 5 stars","I got a defective product, discount products are coming as defective","I got a defective product, discount products are coming as defective"
"2.0 out of 5 stars","NOT WORTH IT @14K","NOT WORTH IT @14K"
"2.0 out of 5 stars","One Airport not working","One of the airport is not working? How to get it exchanged?"
"2.0 out of 5 stars","Flipkart rate 13600/- only, Price very high in Amazon.","Flipkart rate 13600/- only, Price very high in Amazon."
"2.0 out of 5 stars","Bought at 14,900₹ and the other day price drops at 13,900₹","Bought at 14,900₹ and the other day price drops at 13,900₹"
"2.0 out of 5 stars","Issues with battery drainage with Left airpod","Super Fast delivery by Amazon and best sound quality on such an amazing product by Apple. Sound Quality:4.5(dont expect too much Bass as its not an in ear earphones the mid and highs are par decent) Build Quality- 4 (expected design changes from Apple) Connectivity:-5 Best ever if you are in the apple eco-system delivery-5 I had two issues with my Airpod:- 1- First time when i paired my earphones with my phone the left earpiece was not working. This was resolved after resetting the Pod. However i felt the issue to be recurring one and i had to reset it for 3 time during the period i owned this product. 2- i started observing that the left airpod was draining at a much faster rate(don worry if you see a difference of 5-10 % difference as no 2- batteries are same) however in my case if right airpod was at 100 the left one would be at 35-50%. Also even if airpods were left in the charge case the left airpod was not charging untill the pairing of the POD with phone was not active.  - Amazon CSR Promised me an exchange of the product a day before however i was not sent any confirmation mail or any update on my cart. The next day o had to reach Amazon CSD back and then i was informed that Exchange cannot happen and only a refund can be initiated.// :( i had to return my product POOR COMMUNICATION BY AMAZON i must say.  I am definitely going to buy the product again after i receive my refund back but not from Amazon. Amazon is great but they didnt had any stock left and i don't want to get into this trouble again.  I am sure my post will be overlooked and Amazon will not pay any heed to all the troubles and discomfort i had with this purchase. However i hope this somehow helps you for your next purchase."
"2.0 out of 5 stars","Call quality not good","My calls are not coming thru properly . Audio quality is bad rooke can’t hear me . Pls exchange it."
"2.0 out of 5 stars","There was a dirt","I am not sure if this is a refurbished, it has some dirt inside but there was no damage.  Did not return it as it was working fine"
